Location,Crop ID,Date,dt,weather_id,weather_main,weather_description,weather_icon,temp,feels_like,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,clouds_all,Plant height (cm),Grain yield (kg/ha),Flowering time (days to 50% flowering)
Hyderabad,12,2024-10-07,1728342000,803,Clouds,broken clouds,04n,296,296.85,1011,96,296,296,2.11,167,81,,,
Hyderabad,12,2024-10-08,1728428400,802,Clouds,scattered clouds,03n,295.94,296.78,1010,96,295.94,295.94,2.35,172,47,,,
Hyderabad,12,2024-10-09,1728514800,803,Clouds,broken clouds,04n,295.82,296.62,1009,95,295.82,295.82,1.36,167,82,,,
Hyderabad,12,2024-10-10,1728601200,804,Clouds,overcast clouds,04n,296.05,296.93,1008,97,296.05,296.05,2,156,100,,,
Hyderabad,12,2024-10-11,1728687600,802,Clouds,scattered clouds,03n,296.27,297.17,1009,97,296.27,296.27,2.11,153,48,,,
Hyderabad,12,2024-10-12,1728774000,804,Clouds,overcast clouds,04n,296.17,297.09,1010,98,296.17,296.17,2.39,180,100,,,
Hyderabad,12,2024-10-13,1728860400,803,Clouds,broken clouds,04n,296.15,297.01,1010,96,296.15,296.15,1.88,183,83,,,
Hyderabad,12,2024-10-14,1728864000,803,Clouds,broken clouds,04n,296.19,297.03,1011,95,296.19,296.19,1.55,194,77,422.00,635.00,653.00
Hyderabad,38,2024-10-07,1728342000,803,Clouds,broken clouds,04n,296,296.85,1011,96,296,296,2.11,167,81,,,
Hyderabad,38,2024-10-08,1728428400,802,Clouds,scattered clouds,03n,295.94,296.78,1010,96,295.94,295.94,2.35,172,47,,,
Hyderabad,38,2024-10-09,1728514800,803,Clouds,broken clouds,04n,295.82,296.62,1009,95,295.82,295.82,1.36,167,82,,,
Hyderabad,38,2024-10-10,1728601200,804,Clouds,overcast clouds,04n,296.05,296.93,1008,97,296.05,296.05,2,156,100,,,
Hyderabad,38,2024-10-11,1728687600,802,Clouds,scattered clouds,03n,296.27,297.17,1009,97,296.27,296.27,2.11,153,48,,,
Hyderabad,38,2024-10-12,1728774000,804,Clouds,overcast clouds,04n,296.17,297.09,1010,98,296.17,296.17,2.39,180,100,,,
Hyderabad,38,2024-10-13,1728860400,803,Clouds,broken clouds,04n,296.15,297.01,1010,96,296.15,296.15,1.88,183,83,,,
Hyderabad,38,2024-10-14,1728864000,803,Clouds,broken clouds,04n,296.19,297.03,1011,95,296.19,296.19,1.55,194,77,426.00,641.00,659.00
Hyderabad,26,2024-10-07,1728342000,803,Clouds,broken clouds,04n,296,296.85,1011,96,296,296,2.11,167,81,,,
Hyderabad,26,2024-10-08,1728428400,802,Clouds,scattered clouds,03n,295.94,296.78,1010,96,295.94,295.94,2.35,172,47,,,
Hyderabad,26,2024-10-09,1728514800,803,Clouds,broken clouds,04n,295.82,296.62,1009,95,295.82,295.82,1.36,167,82,,,
Hyderabad,26,2024-10-10,1728601200,804,Clouds,overcast clouds,04n,296.05,296.93,1008,97,296.05,296.05,2,156,100,,,
Hyderabad,26,2024-10-11,1728687600,802,Clouds,scattered clouds,03n,296.27,297.17,1009,97,296.27,296.27,2.11,153,48,,,
Hyderabad,26,2024-10-12,1728774000,804,Clouds,overcast clouds,04n,296.17,297.09,1010,98,296.17,296.17,2.39,180,100,,,
Hyderabad,26,2024-10-13,1728860400,803,Clouds,broken clouds,04n,296.15,297.01,1010,96,296.15,296.15,1.88,183,83,,,
Hyderabad,26,2024-10-14,1728864000,803,Clouds,broken clouds,04n,296.19,297.03,1011,95,296.19,296.19,1.55,194,77,400.00,602.00,620.00
Hyderabad,90,2024-10-07,1728342000,803,Clouds,broken clouds,04n,296,296.85,1011,96,296,296,2.11,167,81,,,
Hyderabad,90,2024-10-08,1728428400,802,Clouds,scattered clouds,03n,295.94,296.78,1010,96,295.94,295.94,2.35,172,47,,,
Hyderabad,90,2024-10-09,1728514800,803,Clouds,broken clouds,04n,295.82,296.62,1009,95,295.82,295.82,1.36,167,82,,,
Hyderabad,90,2024-10-10,1728601200,804,Clouds,overcast clouds,04n,296.05,296.93,1008,97,296.05,296.05,2,156,100,,,
Hyderabad,90,2024-10-11,1728687600,802,Clouds,scattered clouds,03n,296.27,297.17,1009,97,296.27,296.27,2.11,153,48,,,
Hyderabad,90,2024-10-12,1728774000,804,Clouds,overcast clouds,04n,296.17,297.09,1010,98,296.17,296.17,2.39,180,100,,,
Hyderabad,90,2024-10-13,1728860400,803,Clouds,broken clouds,04n,296.15,297.01,1010,96,296.15,296.15,1.88,183,83,,,
Hyderabad,90,2024-10-14,1728864000,803,Clouds,broken clouds,04n,296.19,297.03,1011,95,296.19,296.19,1.55,194,77,266.00,401.00,419.00
Hyderabad,33,2024-10-07,1728342000,803,Clouds,broken clouds,04n,296,296.85,1011,96,296,296,2.11,167,81,,,
Hyderabad,33,2024-10-08,1728428400,802,Clouds,scattered clouds,03n,295.94,296.78,1010,96,295.94,295.94,2.35,172,47,,,
Hyderabad,33,2024-10-09,1728514800,803,Clouds,broken clouds,04n,295.82,296.62,1009,95,295.82,295.82,1.36,167,82,,,
Hyderabad,33,2024-10-10,1728601200,804,Clouds,overcast clouds,04n,296.05,296.93,1008,97,296.05,296.05,2,156,100,,,
Hyderabad,33,2024-10-11,1728687600,802,Clouds,scattered clouds,03n,296.27,297.17,1009,97,296.27,296.27,2.11,153,48,,,
Hyderabad,33,2024-10-12,1728774000,804,Clouds,overcast clouds,04n,296.17,297.09,1010,98,296.17,296.17,2.39,180,100,,,
Hyderabad,33,2024-10-13,1728860400,803,Clouds,broken clouds,04n,296.15,297.01,1010,96,296.15,296.15,1.88,183,83,,,
Hyderabad,33,2024-10-14,1728864000,803,Clouds,broken clouds,04n,296.19,297.03,1011,95,296.19,296.19,1.55,194,77,444.00,668.00,686.00
Hyderabad,52,2024-10-07,1728342000,803,Clouds,broken clouds,04n,296,296.85,1011,96,296,296,2.11,167,81,,,
Hyderabad,52,2024-10-08,1728428400,802,Clouds,scattered clouds,03n,295.94,296.78,1010,96,295.94,295.94,2.35,172,47,,,
Hyderabad,52,2024-10-09,1728514800,803,Clouds,broken clouds,04n,295.82,296.62,1009,95,295.82,295.82,1.36,167,82,,,
Hyderabad,52,2024-10-10,1728601200,804,Clouds,overcast clouds,04n,296.05,296.93,1008,97,296.05,296.05,2,156,100,,,
Hyderabad,52,2024-10-11,1728687600,802,Clouds,scattered clouds,03n,296.27,297.17,1009,97,296.27,296.27,2.11,153,48,,,
Hyderabad,52,2024-10-12,1728774000,804,Clouds,overcast clouds,04n,296.17,297.09,1010,98,296.17,296.17,2.39,180,100,,,
Hyderabad,52,2024-10-13,1728860400,803,Clouds,broken clouds,04n,296.15,297.01,1010,96,296.15,296.15,1.88,183,83,,,
Hyderabad,52,2024-10-14,1728864000,803,Clouds,broken clouds,04n,296.19,297.03,1011,95,296.19,296.19,1.55,194,77,320.00,482.00,500.00
